match_id,avg_elo,winner,diff_villagers_snapshot,diff_apm,diff_queues,diff_builds,diff_orders
102955343,1180.5,0,4,-5.1,11,10,18
103427994,1148,1,0,-5.3,-10,-5,88
72948581,1351.5,0,-16,-13.15,7,4,-16
115758188,974,1,1,-16.05,8,-8,-30
92470735,1091,1,-13,-27,-15,-15,-13
90173407,957.5,1,7,8.3,15,6,7
87311962,1134,1,8,1.5,7,-7,21
124685183,1151,1,-13,-4.7,-19,-3,11
133891819,950,1,-15,-17.5,-22,6,-14
51180116,1268.5,0,-6,-1.3,-10,1,60
138179470,1391,1,23,-7.3,19,4,4
67854409,906,0,38,21.7,36,28,47
61557902,1421,1,4,4.85,4,5,33
56786259,1123,1,-5,-6.5,3,0,-1
64318804,1055,1,-13,-33.05,-18,-9,8
87970228,995,1,4,-7.05,5,9,4
58835326,1239.5,0,1,-18.45,-11,10,59
90426520,1076,1,2,22.15,-1,-2,53
112899642,1069.5,1,5,-30.8,4,-1,-39
141482972,2030.5,1,-13,-37.9,-25,-9,-66
105871703,1080,0,12,-10.25,13,-8,-18
87727938,1101.5,0,-5,-2.7,-1,-1,-11
61601061,938.5,1,7,-6.85,0,-7,-7
95470055,1070,1,8,-51.8,3,-4,-68
141178083,1073.5,0,-7,-0.6,-3,12,-10
134491027,1412.5,1,-5,7.1,-9,-15,59
62866735,1092,0,-8,-29,-18,-6,-3
54800147,1032.5,1,-8,-9.4,2,-5,6
91337362,1035.5,0,-6,-5.4,-6,-7,16
98313875,1166,0,-1,16.75,1,-1,12
84481818,1318,0,-9,1.25,-5,1,6
125212269,1129,1,5,-20.8,14,7,-32
65146574,1020.5,1,5,-0.5,3,-6,58
130174597,918,0,-6,-8,-8,-1,7
116295065,1020,1,-11,6.3,-17,-17,69
121760779,1265,0,2,-9.5,-4,-7,34
102185449,1542.5,1,3,-25.65,4,-4,-50
110033976,905.5,1,-11,-4.55,-6,7,3
135488424,1815.5,1,5,-8.85,9,-6,77
125824522,1033.5,0,2,9.05,12,-4,98
138802565,1466,1,5,-10.8,-4,-12,-22
56493991,1287,1,7,-8,20,6,-28
124444835,1144,1,4,-4.6,-5,4,93
123337723,1108.5,0,5,-3.85,-9,9,19
125222632,1201,0,-10,-31.6,-8,13,-56
136880318,1118,1,2,-7.7,4,5,11
104080029,1220,1,-1,3.75,-21,14,-12
64802109,981,0,1,24.6,6,1,89
51268969,1197.5,0,-41,-18.85,-35,5,36
134655102,983,0,-2,0.5,4,0,18
108801038,1389.5,1,-9,-14.55,-9,-1,-4
77848782,1614.5,0,-2,9.7,-12,2,11
131952534,996.5,1,19,5.35,31,-7,51
103701114,1042,0,-11,-19.2,-19,2,19
60680949,933,0,11,-12.55,0,5,2
117517121,946,1,2,-21.75,8,-3,-10
123276334,977.5,1,-5,-33.4,0,6,-12
70363669,1264,1,1,-32.7,-3,-4,-66
116462774,947,1,4,-22.2,4,-8,5
105303630,1050.5,0,2,-2.35,10,-7,59
86441150,906.5,0,-8,17.15,-9,-4,37
65680696,1557,0,9,-21.25,10,6,-31
131434829,1989,1,5,-11.5,27,10,70
76271940,925,0,-23,-43.9,-23,-5,-24
97440413,931.5,1,10,1.65,12,-1,3
87248541,1429,1,-15,-5.3,-21,-11,7
103781593,1350.5,0,23,3,32,-1,21
49586209,1412.5,0,0,1.15,19,-4,15
90921933,1074.5,0,-11,-24.25,-14,-10,-10
131022220,968.5,1,-12,-24.15,-26,-7,1
65987468,1363,1,4,3,2,0,46
74904065,972.5,0,9,7.6,10,-2,-17
83177525,1046,1,2,-0.95,-2,-7,-9
